Incident Description,Risk Level
"A policeman shot and killed his father during an altercation in the Maduganari area of Maiduguri, Maiduguri LGA, Borno State.",medium
"ISWAP insurgents ambushed a tractor and abducted three commuters (the driver and two passengers) on a farm near Fadana Kurta village in Mobbar LGA, Borno State. One of the abducted victims was later released.",medium
"Armed robbers stole two vehicles behind Zara Plaza in Jere LGA, Borno State.",medium
"JAS insurgents riding on bicycles abducted three people from a farm near Bula Chiraye community along the Banki-Bama Road, Bama LGA, Borno State. GSF personnel were deployed to the location.",medium
"ISWAP insurgents demolished a GSF checkpoint on the outskirts of Damasak (approximately 5km from Damasak town) along the Maiduguri Road, Mobbar LGA, Borno State.",medium
"ISWAP insurgents attacked Gyankolo market near Gagamari village, along the Nigeria-Niger border in Mobbar LGA, Borno State. Two Nigerian GSF personnel were killed, and one Toyota Hilux vehicle was stolen. GSF personnel were deployed and engaged the insurgents in a firefight along the Geidam-Chikun axis of Borno State. No further details.",medium
"ISWAP insurgents abducted two IDPs from their farm in Awuleri, Bama LGA, Borno State.",medium
"Vigilantes ambushed suspected ISWAP insurgents on motorcycles on their way to collect levies from a Fulani settlement in the vicinity of the Mafa community, Tarmuwa LGA, Yobe State, resulting in a firefight. Nine people including two vigilantes and seven insurgents were killed.",medium
"There was an armed clash between GSF personnel and AOG insurgents following an attack on a GSF position in the vicinity of Njilang in Chibok LGA, Borno State. No further details.",medium
"Troops of Operation “HADIN KAI’’ supported by CJTF members conducted an operation at JAS insurgents’ hideout in the vicinity of Kashomiri, Bama LGA, Borno State. Nine insurgents were killed, and three empty magazines, two hand grenades, a terrorist flag, and a motorcycle were recovered.",medium
"Gunmen killed a traditional ruler and his son along the Takum-Chanchanji Road in Takum LGA, Taraba State.",medium
"Bandits attacked Hayin Malam village in Giwa LGA, Kaduna State, and killed one person.",medium
"Bandits attacked Ruwan Godiya village in Faskari LGA, Katsina State. Two people were killed, and an unspecified number of people were injured and abducted.",medium
"Bandits attacked Ka’ida village along the Kasuwar Daji-Gusau Road in Bungudu LGA, Zamfara State. Four people were killed, and an unspecified number of people were abducted.",medium
"Troops of the Nigerian Army ambushed bandits along the Tasha-Bwari Road near Gurara town, between Kachia and Kagarko LGAs, Kaduna State. Two bandits were killed, an unspecified number sustained gunshot wounds, and arms were recovered.",medium
"Bandits mounted on at least 15 motorcycles were sighted around Danguro village in Nahuche district, Bungudu LGA, Zamfara State.",medium
"Bandits mounted on at least 15 motorcycles were sighted around Gwargwabi village in Nahuche district, Bungudu LGA, Zamfara State.",medium
"Bandits mounted on motorcycles killed two people in Gwalli, Gummi LGA, Zamfara State.",medium
"Bandits mounted on motorcycles were sighted moving from Zauma axis in Bukkuyum LGA towards Gamo and Falale Wards in Gummi LGA, Zamfara State.",medium
"GSF personnel conducted clearance operations on bandits’ hideouts in the Kurutu general area and Hayin-Dam Forest, Agunu Ward, Kachia LGA, Kaduna State. An unspecified number of bandits were killed.",medium
"Bandits mounted an Illegal Vehicle Check Point (IVCP) in the vicinity of Gidan Kano, along the Gusau Sokoto Highway, Maradun LGA, Zamfara State. No further details.",medium
"Gunmen abducted at least seven people in Idon community, Kajuru LGA, Kaduna State.",medium
"Residents of Marabar in Kankara LGA, Katsina State, held a protest over increased bandits’ attacks in their community. The protesters barricaded the road, resulting in traffic gridlock.",medium
"GSF personnel conducted clearance operations at bandits’ hideouts in Kurutu and Hayim-Dam forests in Kachia LGA, Kaduna State. An unspecified number of bandits were killed.",medium
"Bandits attacked Tumburkai village in Dandume LGA, Katsina State. Policemen were deployed and engaged the bandits in a firefight. One policeman was killed.",medium
"Bandits abducted eight farmers in Daji Takwas, Gummi LGA, Zamfara State.",medium
"Bandits abducted 12 farmers in Garin Zugu, Bukkuyum LGA, Zamfara State.",medium
"Bandits abducted 13 people including women and children in Birchi, Kurfi LGA, Katsina State.",medium
"Bandits abducted three people including a child in Kogawa, Yankara town, Faskari LGA, Katsina State.",medium
"Bandits abducted an unspecified number of people in Dan Musa, Dan Musa LGA, Katsina State.",medium
"Bandits attacked Sabuwa in Sabuwa LGA, Katsina, and killed four farmers.",medium
"Women of Isiama Afara Ukwu community in Umuahia North LGA, Abia State, held a protest over the continued detention of the leader of the Indigenous People of Biafra (IPOB) by the Nigerian government. The protesters chanted songs demanding the immediate release of the IPOB leader from the custody of the Department of State Services (DSS) where he is being detained for alleged terrorism and treasonable felony.",medium
"Gunmen in a Toyota Sienna attacked policemen on routine patrol along the Ngwa Road, Mosque Junction in Aba South LGA, Abia State. Policemen engaged the gunmen in a firefight. Six people were killed including a policeman and two gunmen.",medium
"Residents of Ochima community held a peaceful protest over an alleged plan of the Nigerian Army to take over their ancestral land. The protesters carried placards and marched from the community’s borehole at Ochima junction to the palace of their traditional ruler in Igbo-Etiti LGA, Enugu State.",medium
"GSF personnel conducted a clearance operation at an IPOB/ESN hideout in Ezere forest, Umuawa Aku, Okigwe LGA, Imo State. An unspecified number of IPOB/ESN members were killed.",medium
"GSF personnel conducted clearance operations at IPOB/ESN hideouts in Akawa Nnneato and Lomara communities, Umunneochi LGA, Abia State. Two motorcycles, two radios, arms and ammunition were recovered.",medium
"Residents of Ekpemu oil-producing community in Jones Creeks Flow Station, Gbaramatu Kingdom, Warri South-West LGA, Delta State, held a protest over the alleged neglect of the community by NECONDE Nigeria Limited and NNPC Exploration and Production Limited. The protesters stated that there has been no power supply for decades and the companies have done nothing for the community despite continued extraction of crude oil from Jones Creeks.",medium
"GSF personnel engaged kidnappers in a firefight in Oviri-Ogor community, Ughelli North LGA, Delta State. One kidnapper was shot and killed, and three others were arrested.",medium
"There was a violent clash between supporters of the Rivers State Governor and the Minister of the Federal Capital Territory during a medical outreach at the Eliozu Primary Health Care Center in Eliozu community, Obio/Akpor LGA, Rivers State. GSF personnel were deployed and fired teargas to disperse the crowd.",medium
"There was a violent clash between members of the “Eiye” and the “Aye” cult gangs in Ogwashi Uku Polytechnic in Aniocha South LGA, Delta State. One gang member was injured.",medium
"Women in Ukpada community in Bekwarra LGA, Cross River State, held a protest over increased herdsmen attacks in their community.",medium
"Unidentified armed men stabbed and killed a businessman at his shop beside the Ekeki Park in Yenagoa LGA, Bayelsa State.",medium
"Troops of Operation DELTA SANITY conducted clearance operations at criminals’ hideouts in the vicinities of Elem-Akrakama and Elem-Tombia in Bonny LGA, Rivers State. One criminal was killed, and their camps were destroyed.",medium
"Unidentified armed individuals dressed in military uniforms attacked Akamama community in Opuama Kingdom, Southern Ijaw LGA, Bayelsa State, and destroyed properties.",medium
"A member of the “Vikings” cult gang shot and injured an “Eiye” gang member at PZ, Okabere, along the Sapele Road, Benin City, Oredo LGA, Edo State.",medium
"A policeman reportedly shot and killed a betting agent in the Imala/Elega area of Abeokuta North LGA, Ogun State.",medium
"Herders attacked operatives of the Amotekun Corps enforcing the Anti-open Grazing Law of the state in the Sango area, Igoba, along Ado Road in Akure North LGA, Ondo State. An unspecified number of Amotekun operatives were injured",medium
"Gunmen attacked passengers along the Ife-Ibadan Road in Akure North LGA, Ondo State. At least nine people including a mother and her three children were abducted. One of the abducted victims later escaped.",medium
"A mob lynched a man accused of stealing at Abule Oke axis in Aiyetoro, Yewa North LGA, Ogun State. The victim had just returned from prison for a similar criminal offence.",medium
"Students of the College of Medicine of the University of Lagos held a protest on the University Campus in Yaba, Lagos Mainland LGA, Lagos State, over the disconnection of the power supply to the campus due to the unpaid bills by the university management.",medium
"Residents of Ode Irele community in Irele LGA, Ondo State, held a protest over an alleged attempt by the Ondo State Government to impose a prince on the community as a monarch. No further details.",medium
"Market women at the Iyana Ipaja market in Alimosho LGA, Lagos State, held a protest over reported extortion and harassment from hoodlums in the market. The protesters carried placards and called for the intervention of the State Governor.",medium
"Increased tensions were reported in the vicinity of the palace of Olowu of Araromi-Owu in Ayedaade LGA, Osun State, following a dispute over the kingship of the community and an alleged attack on one of the contestants. GSF personnel were deployed to the location to restore order. One GSF personnel was injured, and vehicles and houses including the palace were set on fire.",medium
"Gunmen shot and killed a student in his hostel in Akungba two, Akoko South-West LGA, Ondo State.",medium
"Suspected cult gang clashes were reported in the Mosafejo area, Badagry LGA, Lagos State. No further details.",medium
"There was a violent clash between members of the “Aye” and the “KK” cult gangs in Owo, Owo LGA, Ondo State. No further details.",medium
"Gunmen attacked and fired shots at a Sienna bus travelling from Anambra State along the Ifon Owo Expressway in Omi Alafa village, Ifon, Ose LGA, Ondo State. Two people including the driver were killed, and five passengers including a corps member were abducted. UPDATE: 20Jul24 – A 2-million-naira ransom was demanded for each victim.",medium
"There were violent clashes between members of the “Aye” and the “Eiye” cult gangs in the vicinities of Tiger Battery and Caroline in Aradagun, Badagry LGA, Lagos State. Two people were reportedly killed.",medium
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in the vicinity of Elewure, Ibadan North LGA, Oyo State. One person was reportedly killed.",medium
"There was a violent clash between members of the “Aye” and the “Buccaneer” cult gangs in the vicinity of Adekunle Ajasin University, Akungba, Akoko South-West LGA, Ondo State. One person was reportedly killed.",medium
"There was a protest along the EFAB Bridge in Dawaki Extension, Bwari Area Council, Abuja. GSF personnel fired teargas in repeated attempts to disperse the protesters, however, they kept reassembling.",medium
"Protesters were sighted moving from the National Stadium in Conservation Avenue via the American Embassy axis to the Eagles Square in Central Business District, AMAC, Abuja.",medium
"There was a protest in front of the Moshood Abiola National Stadium, Constitution Avenue, AMAC, Abuja, over bad governance and the current economic conditions in the country. GSF personnel were stationed in the area.",medium
"There was a protest at the Tipper Garage in Gwagwalada Area Council, Abuja, over bad governance and the current economic conditions in the country. GSF personnel were stationed in the area.",medium
"Unidentified men set tyres on fire and attacked commuters with stones along the Lugbe-Airport Road, AMAC, Abuja.",medium
"Representatives of Women from the 36 states of Nigeria held a protest at Eagle Square along Shehu Shagari Way in AMAC, Abuja, in opposition to the planned protest over bad governance in Nigeria. GSF personnel were stationed in the area.",medium
"Residents of Karu, Kuje, and Lugbe held a protest at Eagle Square, AMAC, Abuja, in opposition to the planned “#EndBadGovernance” protest. The protesters displayed various placards urging Nigerian youths to shun the planned protest.",medium
"Protesters blocked the Suleja axis of the Abuja-Kaduna Highway in Suleja LGA, Niger State, resulting in traffic gridlock from Aluminium Village to Zuma Military Barracks. GSF personnel reportedly fired shots to disperse the protesters. Six people were reportedly killed, and an unspecified number of people were injured.",medium
"Protesters from Nyanya and Mararaba in Karu LGA, Nasarawa State, were reportedly stopped at a military checkpoint by a combined team of policemen and soldiers while heading to Asokoro, AMAC, Abuja. GSF personnel fired teargas to disperse the protesters. The protesters reportedly set a vehicle on fire at the Mararaba/Nyanya axis.",medium
"There was a protest in Mararaba, Karu LGA, Nasarawa State, over bad governance and the current economic conditions in the country. GSF personnel reportedly fired shots to disperse the protesters.",medium
"There was a protest at the Old Airport Road in Jos North LGA, Plateau State, over bad governance and the current economic conditions in the country. The protesters moved towards the Barkin Ladi Road in Jos.",medium
"Armed robbers attacked the Special Adviser on Digital Media and Strategy to the Niger State Governor at Kure Market, Chanchaga LGA, Niger State. His valuables were stolen.",medium
"GSF personnel killed one gunman in a firefight with gunmen in Gbeji-Afia, Ukum LGA, Benue State.",medium
"Armed men abducted one male from his residence in Anguldi (Kwata area), Jos South LGA, Plateau State. A 15-million-naira ransom was demanded for his release.",medium
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in the vicinity of Kabayi, Mararaba, Karu LGA, Nasarawa State. An unspecified number of people were reportedly injured.",medium
"Youths held a protest along the Abuja-Kaduna Expressway in Suleja LGA, Niger State, over the current economic condition. The protesters carried placards with different inscriptions.",medium
"Members of Operation “ZENDA” JTF conducted operations at a criminals’ hideout in Mbavuur Ward, Logo LGA, Benue State, resulting in a firefight. Six criminals were killed. One AK-47 rifle, and two locally fabricated short guns loaded with ammunition were recovered.",medium
"A mob lynched a suspected armed robber at the Makurdi Modern Market area in Makurdi LGA, Benue State.",medium
"Unidentified armed men killed a final year law student who was attending the Nasarawa State University in the vicinity of Angwan Mada in Risha village, Akwanga LGA, Nasarawa State.",medium
"The Yobe State Government declared a 24-hour curfew effective immediately in Potiskum, Gashua, and Nguru LGAs, to contain the security situation, following the vandalization and looting of government and private properties by unidentified individuals during the #EndBadGovernance protest.",medium
"The State Police command in Borno State announced a state-wide 24-hour curfew effective immediately, following the security concerns resulting from the ongoing protests.",medium
"Protesters gathered at the Emir Palace in Bauchi, Bauchi LGA, Bauchi State. The protesters requested to speak with the Emir.",medium
"There was a protest in the vicinity of the Government House in Gombe LGA, Gombe State, over bad governance and the current economic conditions in the country. The protesters were reportedly disallowed into the Government House and destroyed the Governor’s billboard.",medium
"The Borno State Police Command reported JAS insurgents had infiltrated a protest near A.A Kime Filling Station, Baga Road in Maiduguri LGA. Four civilians were killed, and 34 others were injured. No further details.",medium
"Protesters converged around Yan Nono, Bulunkutu area, and Polo general area, Maiduguri LGA, Borno State, over bad governance and the current economic conditions in the country. GSF personnel reportedly fired shots to disperse the protesters.",medium
"An Improvised Explosive Device (IED) was detonated at a local tea joint in Kawuri village, Konduga LGA, Borno State. At least 19 people were killed, and an unspecified number of people were injured.",medium
"JAS insurgents attacked Gamboru in Ngala LGA, Borno State. An unspecified number of vehicles were set on fire.",medium
"Troops of Operation “HADIN KAI” supported by CJTF conducted clearance operations at AOG insurgents’ hideouts in Lantari, Mojori, Bula Malo, and Baramari villages in Bama LGA, Borno State. Two insurgents were killed, and arms and ammunition were recovered.",medium
"A civilian convoy with GSF escorts drove over an RPIED along the Maiduguri-Damboa-Biu Road, Damboa LGA, Borno State. One person was killed, and an unspecified number of people were injured.",medium
"AOG insurgents mounted an Illegal Vehicle Checkpoint (IVCP) in the vicinity of Ajiri, along the Mafa Dikwa Road, Mafa LGA, Borno State. A truck was set on fire and commuters were forced to transport consumables for the insurgents.",medium
"Troops of Operation HADIN KAI supported by CJTF members on clearance operations engaged JAS insurgents in a firefight in the vicinity of Bula Marwa, Banki, Bama LGA, Borno State. At least eight insurgents were killed, and one Anti-Grenade Launcher (AGL) and one MK 4 rifle were recovered.",medium
"JAS insurgents attacked farmers in the vicinity of Wallah village along the Gwoza-Pulka Highway in Gwoza LGA, Borno State. One person was shot and injured, and five people were abducted.",medium
"ISWAP insurgents mounted on technicals attacked Gilbagaro village in Mafa Ward, Tarmuwa LGA, Yobe State. The village head and his two children were killed, his Toyota Hilux vehicle was stolen, at least 300 cows were rustled, and houses were set on fire.",medium
"AOG insurgents attacked a police station in Jakana along the Maiduguri-Damaturu Road in Konduga LGA, Borno State. A policeman and a female were killed, weapons and a motorcycle were stolen. Two patrol vehicles belonging to the police and CJTF members were set on fire.",medium
"AOG insurgents attacked a military base at Op2 and Ngada near the entrance to Ngala town in Ngala LGA, Borno State. The attack resulted in a firefight with GSF personnel, and vehicles were set on fire.",medium
"Armed robbers assaulted and robbed a man of his phone around the Bayan Texaco area of Maiduguri LGA, Borno State. The victim was also injured. The suspects were later arrested.",medium
"ISWAP insurgents attacked a GSF position and the ISS IDP Camp, Ngala LGA, Borno State. One GSF personnel was injured. The insurgents reportedly planted IEDs behind the ISS IDP Camp.",medium
"A Road Planted Improvised Explosive Device (RPIED) was discovered in Bakassi village, Dikwa LGA, Borno State. IED experts were deployed to the location to safely detonate the explosive device.",medium
"An IED exploded and killed two children in the vicinity of an ISS Camp, Ngala LGA, Borno State.",medium
"JAS insurgents killed two farmers in the vicinity of Bakko Road in Pulka, Gwoza LGA, Borno State.",medium
"A female hawker was injured after detonating a Victim Operated Improvised Explosive Device (VOIED) planted by ISWAP insurgents in the vicinity of the Buni Yadi livestock market, Gujba LGA, Yobe State. GSF personnel recovered another IED in the market and detonated it through a controlled explosion.",medium
"The Katsina State Government declared a 24-hour curfew in Dutsin Ma LGA, effective immediately, following increased security concerns resulting from the protests.",medium
"The Kano State Government declared a 24-hour curfew effective immediately, following the security concerns resulting from the ongoing protests.",medium
"Unidentified individuals looted items including desktop computers, chairs, keyboards, and other appliances from the Nigeria Communication Commission (NCC) Digital Innovation Park along State Road, Kano Municipal LGA, Kano State. The individuals reportedly set the building on fire.",medium
"There was a peaceful protest at the Sultan’s palace in Sokoto LGA, Sokoto State, over bad governance and the current economic conditions in the country.",medium
"There was a protest along the Yauri-Kontagora Road, Yauri LGA, Kebbi State, over bad governance and the current economic conditions in the country. Unidentified individuals attempted to loot private properties, forcing GSF personnel to fire shots to disperse the protesters. One person was reportedly killed. A group of protesters converged around the Gesse axis in Birnin Kebbi LGA, while another group held a protest along Bank Road towards the Government House.",medium
"There was a protest along the Kofan Kaura Road in Katsina LGA, Katsina State, over bad governance and the current economic conditions in the country. A group of protesters marched to Sabon Layi Roundabout.",medium
"Protesters armed with sticks marched from the Police Headquarters roundabout close to the Ministry of Land, Urban Development and Regional planning to the Jigawa State Government house in Dutse LGA, Jigawa State. GSF personnel fired teargas to disperse the protesters, they reassembled and barricaded the road with sticks and stones. Two people were reportedly killed, and unspecified number of people were injured. The protesters set fire to the All Progressives Congress headquarters building and vehicles.",medium
"There was a protest at the Eastern By-Pass, Kaduna North LGA, Kaduna State, over bad governance and the current economic conditions in the country. Four people including a security operative were reportedly killed.",medium
"Protesters converged at Gidan Murtala, Kano Municipal LGA, Kano State, ahead of the #EndBadGovernance protest. Another group of protesters marched from Zoo Road, Yukuntawa, and Sharada areas in Gwale LGA as well as Ladani along the Easter By-Pass in Nasarawa LGA. Three people were reportedly killed, and properties were destroyed.",medium
"Bandits attacked Jambali village in Batsari LGA, Katsina State. One person was killed, and 10 people were abducted.",medium
"Bandits attacked Yan Nasarawa village in Faskari LGA, Katsina State. Two people were killed, and an unspecified number of people were abducted.",medium
"Bandits attacked Samaye community in Sabon Birni LGA, Sokoto State. Two people were killed, and 20 people were abducted including a traditional ruler.",medium
"Bandits killed two people in Kwandagarawa village, Gwadabawa LGA, Sokoto State.",medium
"Bandits abducted the Emir of Gobir and two of his family members at Kwanar Mahalba, Sabon Birni LGA, Sokoto State.",medium
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in Ifite, Awka South LGA, Anambra State. Three people were reportedly killed.",medium
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in Nibo, Awka South LGA, Anambra State. Two people were killed.",medium
"Gunmen attempted to rob a commercial bank along Bank Road, Owerri Municipal LGA, Imo State. GSF personnel were deployed to the location and repelled the attack.",medium
"Unidentified armed men shot and killed two people in Amawire, Owerri North LGA, Imo State. No further details.",medium
"GSF personnel conducted a clearance operation at an ESN hideout in Isseke community, Ihiala LGA, Anambra State.",medium
"Gunmen attacked Mechanic Village Junction near Save More Marketplace, Blossom Junction, and Dovely Palace Hotel junction in Irete Autonomous Community, along the Owerri-Onitsha Expressway, Owerri West LGA, Imo State. At least five people including four policemen and a Point of Sale (POS) operator were killed.",medium
"There was an armed clash between GSF personnel and IPOB/ESN members around the Ariaria market, Tonimas, Umuojima, and Osisioma axes in Aba North LGA, Abia State. One person was killed.",medium
"Soldiers attached to the Nkwagu Military Cantonment ambushed armed robbers at the Akpoha/Abaomege axis of the Afikpo-Abakaliki Highway in Onicha LGA, Ebonyi State. One armed robber was killed, and three others were arrested.",medium
"Gunmen blocked the Enugu-Umuahia Road in Lokpanta, Umunneochi LGA, Abia State, and fired shots at a vehicle. The driver and passengers (two aid workers) escaped.",medium
"GSF personnel drove over a Road-Planted IED deployed by IPOB/ESN members along a road in Azia community, Ihiala LGA, Anambra State. An unspecified number of GSF personnel were injured, and patrol vehicles were vandalized.",medium
"There were protests at Effurun Junction and DSC roundabout in Warri, Uvwie LGA, Delta State, over bad governance and the current economic conditions in the country. Unidentified armed men reportedly attacked protesters with sticks, broken bottles, and other weapons, and stole their mobile phones and other valuables.",medium
"There was a protest along the Sakponba Road in Benin City, Oredo LGA, Edo State, over bad governance and the current economic conditions in the country. Unidentified gang members reportedly attacked the protesters and stole their mobile phones and valuables.",medium
"There was a protest along the Olympia and Ogidigwe Roads in Sapele town, Sapele LGA, Delta State, over bad governance and the current economic conditions in the country.",medium
"There was a violent clash between pro-government and anti-government protesters along the Greenville Road in Biogbolo, Yenagoa LGA, Bayelsa State. No further details.",medium
"There was a protest in Ughelli town around motor park area in Ughelli North LGA, Delta State, over bad governance and the current economic conditions in the country.",medium
"There were protests along the Sapele Road and Ihama close to Airport Road in Benin City, Oredo LGA, Edo State, over bad governance and the current economic conditions in the country.",medium
"There were protests at the UNIBEN Main Gate, Ugbowo, and the Ugbioko/Ekenwan axis in Ovia North East LGA, Edo State, over bad governance and the current economic conditions in the country. Youths at the Ugbioko/Ekenwan axis set fire to tyres and vandalized properties. Another group of protesters moved from Ewah Road to Covenant Junction in Upper Mission, Oredo LGA.",medium
"Protesters marched towards the State Government House in Port Harcourt in Port Harcourt LGA, Rivers State.",medium
"There was a protest at King Square, Ring Road in Benin City, Oredo LGA, Edo State, and Agbor Road in Ikpoba Hill, Ikpoba Okha LGA, over bad governance and the current economic conditions in the country.",medium
"Protesters converged at Tombia Roundabout, Yenagoa LGA, Bayelsa State, over bad governance and the current economic conditions in the country.",medium
"Protesters converged at Isaac Adakaboro Park in Mile 1, Port Harcourt LGA, Rivers State, in preparation for “#EndBadGovernance” protest. Another group of protesters marched from Pleasure Park to Rumuola in Port Harcourt LGA.",medium
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in Ogwashi Uku, Aniocha South LGA, Delta State. One person was killed.",medium
"There was a violent clash between members of the “Eiye” and “Vikings” cult gangs in Obiaruku, Ukwuani LGA, Delta State. One gang member was injured.",medium
"There was a violent clash between members of the “Vikings” and the “Buccaneers” cult gangs Ozoro, Isoko North LGA, Delta State. No further details.",medium
"Armed men attacked a Nigeria Union of Journalists’ (NUJ) vehicle conveying palliatives from the State Emergency Management Agency warehouse to the NUJ Secretariat along Barracks Road, Calabar Municipal LGA, Cross River State. Three people including the bus driver were injured, the vehicle was vandalized, and the palliatives were looted.",medium
"Gunmen attacked a church in the vicinity of Delta Broadcasting Service Street in Asaba, Oshimili South LGA, Delta State. A former lawmaker was abducted, her aide was killed, and one person was injured.",medium
"Women held a protest at the Samson Siasia Stadium in Yenagoa, Yenagoa LGA, Bayelsa State, in opposition to the planned “#EndBadGovernance” protest.",medium
"There were protests at Oniru beach area in Eti Osa LGA, and at Ketu in Kosofe LGA, Lagos State, over bad governance and the current economic conditions in the country.",medium
"There was a protest at the Modupe bus stop in Oke Ira, Ogba, Ifako-Ijaiye LGA, Lagos State, over bad governance and the current economic conditions in the country.",medium
"There was a protest at Idi Ape towards Agodi Gate in Ibadan, Ibadan North LGA, Oyo State, over bad governance and the current economic conditions in the country.",medium
"There was a protest at the Gani Fawehinmi Park, Ojota, Kosofe LGA, Lagos State, over bad governance and the current economic conditions in the country.",medium
"There was a protest along the Sango Road leading to Bodija Market in Ibadan North LGA, Oyo State, over bad governance and the current economic conditions in the country.",medium
"Pro-government supporters converged at Alausa, Ikeja LGA, Lagos State, in preparation for their march in support of the present administration. At Ikeja Under Bridge, “#EndBadGovernance” protesters converged ahead of their march to Alausa. Increased GSF presence was reported around Ikeja and Ogba axes as well as Freedom Park axis in Ojota and Odogunyan axis in Ikorodu.",medium
"GSF personnel safely detonated an Improvised Explosive Device (IED) planted along the fence of the Federal Operations Unit (FOU), Zone A of the Nigeria Customs Service along Bank Anthony Way, Ikeja LGA, Lagos State.",medium
"There was a violent clash between members of the “Aye” and the “Buccaneers” cult gangs in the vicinity of the Osun State University, Okuku Campus, Odo/Otin LGA, Osun State.",medium
"Youths held a protest, marching to Marina from Ahmadu Bello Way, Victoria Island, Eti Osa LGA, Lagos State, in opposition to the planned “#EndBadGovernance” protest.",medium
"Staff and students attending the Federal College of Education (Technical), Akoka, Shomolu LGA, Lagos State, held a protest in the school premises over the school Provost’s extended stay in office. GSF personnel were deployed and fired teargas to disperse the protesters.",medium
"A man reportedly stabbed and killed his ex-wife in Igede-Ekiti, Ekiti West LGA, Ekiti State. The man later killed himself.",medium
"There was a violent clash between youths and policemen in Ikenne town, Ikenne LGA, Ogun State, following a protest held by the youths over the ban on this year’s Oro festival. At least 20 youths who took part in the protest were later arrested.",medium
"Troops kill bandit, rescue kidnap victim in Plateau forest operation",medium
"Bandits kill 19, raze houses in fresh Katsina attack",medium
Bandits kill 15 farmers in Kebbi - Punch Newspapers,medium
"Bandits kill two soldiers, others in Benue ambush - Punch Newspapers",medium
Bandits kill 10 security personnel in Zamfara - Punch Newspapers,medium
"Security operatives rescue 10 kidnap victims, kill 1 bandit in Katsina",medium
"Bandits kill Katsina security agents, burn patrol vehicle",medium
Bandits kill several vigilantes near Bauchi-Plateau border,medium
"Police foil kidnap attempt, kill one bandit in Katsina",medium
Ex-generals flag intelligence failure as bandits kill 17 soldiers,medium
"President Bola Ahmed Tinubu has declared a state of emergency in Rivers State, citing escalating political tensions and security concerns. The decision, announced in a televised address on Tuesday night,…",medium
"As part of the 2024 Urhobo Progress Union (UPU) Week celebrations, the Urhobo Consultative Forum (UCF), a non-partisan network of Urhobo intelligentsia dedicated to the socio-economic prosperity and unity of…",medium
"The Atamu Social Club of Nigeria, a leading non-profit socio-cultural organization dedicated to the unity and sustainable development of the Urhobo people, successfully concluded its 12th Annual Retreat at the…",medium
"The Urhobo Arise Group, a non-partisan network of Urhobo intelligentsia dedicated to the socio-economic prosperity and unity of the Urhobo Nation, has congratulated His Royal Majesty (HRM) Kingsley Emakpo Orereh,…",medium
"In a night filled with celebration and recognition, Mr. Edwin Efekokha, Head of Department – Talent & Performance Management, was honored with the prestigious “Execution: On Time – Every Time”…",medium
"In a momentous event held at the Michael and Cecilia Ibru University in Agbarha Otor, Ughelli North of Delta State, three distinguished Nigerians were honoured with honorary Doctor of Science…",medium
"In a recent interview with BusinessDay, Churchill Oboh, acting team lead of the Edo State Oil Palm Programme (ESOPP), discussed the progress and impact of the program initiated by Governor…",medium
"President Bola Ahmed Tinubu has suspended the Central Bank of Nigeria, CBN, Governor, Mr Godwin Emefiele from office with immediate effect. According to a terse statement by Willie Bassey Director,…",medium
"Mr. Nwonyi Polycarp, the Commissioner of Police (CP) for Rivers State, has issued a stern warning to the various vigilance groups operating in the state, urging them to refrain from…",medium
"Over 100 killed as Bello Turji, Zamfara guards clash",medium
Police investigating community clash – Osun PPRO,medium
"One killed, another arrested in Abia cult clash - Punch Newspapers",medium
"10m fine: NFF mum as Lagos FA, Kwara GM clash",medium
24 houses burnt in Jigawa communal clash - Punch Newspapers,medium
"Students' union, NANS clash over welfare crisis at Lagos college",medium
"Over 1,700 killed in boundary, communal clashes in seven years",medium
"Shiites, soldiers clash in Abuja - Punch Newspapers",no
Communal clash: Osun gov relaxes curfew to 17 hours,no
Police arrest 46 youths after Ondo cult clash - Punch Newspapers,no
Bandit attack: 15 feared killed in Sokoto village - Punch Newspapers,no
Stray bullet kills 12-year-old boy during attack on Lagos community,no
Suspected herders kill 43 in fresh Benue attacks - Punch Newspapers,no
Armed men amputate Plateau youth returning from burial,no
Gunmen kill three in Plateau attack - Punch Newspapers,no
"Buratai town was attacked, not Ex-COAS, Ndume clarifies",no
Army condemns viral video alleging attack plan on South-East,no
Many feared dead in fresh Benue attack - Punch Newspapers,no
Police deny fresh herdsmen attack in Benue community,no
"Nigeria’s non-oil export value in the first quarter of 2025 was N3.17tn, extending an upward streak since Q4 2023. Stakeholders laud this performance, but they are bothered that data gaps continue t...",no
"Trade experts have called for improved market connectivity for African small businesses, urging governments, investors and stakeholders to support more strategic retail linkages and cross-border coope...",no
"Sterling Bank Plc has emerged as the Outstanding Healthcare Financial Institution of the Year at the 2025 Nigerian Healthcare Excellence Awards, held recently in Lagos. According to a statement, the a...",no
The Corporate Accountability and Public Participation Africa has called on the Federal Government to mandate sugar-sweetened beverage manufacturers to place front-of-pack warning labels on their produ...,no
